Date,Purchase,Sale,Transfer
1/3/2019,"30,439","30,951","30,621"
2/3/2019,"30,439","30,951","30,621"
3/3/2019,"30,439","30,951","30,621"
4/3/2019,"30,369","30,881","30,551"
5/3/2019,"30,230","30,742","30,412"
6/3/2019,"30,172","30,684","30,354"
7/3/2019,"30,242","30,754","30,424"
8/3/2019,"30,044","30,556","30,226"
9/3/2019,"30,044","30,556","30,226"
10/3/2019,"30,044","30,556","30,226"
11/3/2019,"29,754","30,266","29,936"
12/3/2019,"30,334","30,846","30,516"
13/03/2019,"30,033","30,545","30,215"
14/03/2019,"30,462","30,974","30,644"
15/03/2019,"30,381","30,893","30,563"
16/03/2019,"30,381","30,893","30,563"
17/03/2019,"30,381","30,893","30,563"
18/03/2019,"30,521","31,035","30,703"
19/03/2019,"30,452","30,964","30,634"
20/03/2019,"30,440","30,952","30,622"
21/03/2019,"30,368","30,880","30,550"
22/03/2019,"30,126","30,638","30,308"
23/03/2019,"30,126","30,638","30,308"
24/03/2019,"30,126","30,638","30,308"
25/03/2019,"30,276","30,788","30,458"
26/03/2019,"30,288","30,800","30,470"
27/03/2019,"30,265","30,777","30,447"
28/03/2019,"30,102","30,754","30,284"
29/03/2019,"29,986","30,498","30,168"
30/03/2019,"29,986","30,498","30,168"
31/03/2019,"29,986","30,498","30,168"
1/4/2019,"29,889","30,401","30,071"
2/4/2019,"29,975","30,487","30,157"
3/4/2019,"30,149","30,661","30,331"
4/4/2019,"30,242","30,754","30,424"
5/4/2019,"30,010","30,522","30,192"
6/4/2019,"30,010","30,522","30,192"
7/4/2019,"30,010","30,522","30,192"
8/4/2019,"29,917","30,429","30,099"
9/4/2019,"29,917","30,429","30,099"
10/4/2019,"29,952","30,464","30,134"
11/4/2019,"30,056","30,568","30,238"
12/4/2019,"29,986","30,498","30,168"
13/04/2019,"29,986","30,498","30,168"
14/04/2019,"29,986","30,498","30,168"
15/04/2019,"29,986","30,498","30,168"
16/04/2019,"30,010","30,522","30,192"
17/04/2019,"29,975","30,487","30,157"
18/04/2019,"29,928","30,440","30,110"
19/04/2019,"29,841","30,353","30,023"
20/04/2019,"29,841","30,353","30,023"
21/04/2019,"29,841","30,353","30,023"
22/04/2019,"29,841","30,353","30,023"
23/04/2019,"29,807","30,319","29,989"
24/04/2019,"29,747","30,259","29,929"
25/04/2019,"29,718","30,230","29,900"
26/04/2019,"29,690","30,208","29,872"
27/04/2019,"29,690","30,208","29,872"
28/04/2019,"29,690","30,208","29,872"
29/04/2019,"29,690","30,208","29,872"
30/04/2019,"29,690","30,208","29,872"
1/5/2019,"29,690","30,208","29,872"
2/5/2019,"30,039","30,551","30,221"
3/5/2019,"29,984","30,520","30,166"
4/5/2019,"29,984","30,520","30,166"
5/5/2019,"29,984","30,520","30,166"
6/5/2019,"30,277","30,803","30,459"
7/5/2019,"30,286","30,812","30,468"
8/5/2019,"30,222","30,748","30,404"
9/5/2019,"30,132","30,670","30,314"
10/5/2019,"29,976","30,496","30,158"
11/5/2019,"29,976","30,496","30,158"
12/5/2019,"29,976","30,496","30,158"
13/05/2019,"30,002","30,424","30,202"
14/05/2019,"29,986","30,436","30,158"
15/05/2019,"29,772","30,226","29,966"
16/05/2019,"29,642","30,058","29,806"
17/05/2019,"29,578","30,050","29,786"
18/05/2019,"29,578","30,050","29,786"
19/05/2019,"29,578","30,050","29,786"
20/05/2019,"29,486","29,944","29,683"
21/05/2019,"29,444","29,916","29,655"
22/05/2019,"29,427","29,871","29,609"
23/05/2019,"29,293","29,715","29,455"
24/05/2019,"29,302","29,786","29,526"
25/05/2019,"29,394","29,928","29,618"
26/05/2019,"29,394","29,928","29,618"
27/05/2019,"29,450","29,902","29,641"
28/05/2019,"29,353","29,807","29,546"
29/05/2019,"29,313","29,745","29,485"
30/05/2019,"29,245","29,707","29,447"
31/05/2019,"29,193","29,661","29,401"
1/6/2019,"29,193","29,661","29,401"
2/6/2019,"29,193","29,661","29,401"
3/6/2019,"29,256","29,740","29,481"
4/6/2019,"29,339","29,771","29,511"
5/6/2019,"29,394","29,862","29,600"
6/6/2019,"29,369","29,825","29,565"
7/6/2019,"29,361","29,833","29,572"
8/6/2019,"29,361","29,833","29,572"
9/6/2019,"29,361","29,833","29,572"
10/6/2019,"29,393","29,805","29,544"
11/6/2019,"29,279","29,725","29,465"
12/6/2019,"29,348","29,788","29,528"
13/06/2019,"29,222","29,684","29,423"
14/06/2019,"29,231","29,701","29,441"
15/06/2019,"29,024","29,542","29,223"
16/06/2019,"29,024","29,542","29,223"
17/06/2019,"29,031","29,631","29,213"
18/06/2019,"28,898","29,380","29,122"
19/06/2019,"28,959","29,411","29,152"
20/06/2019,"29,271","29,735","29,475"
21/06/2019,"29,253","29,741","29,481"
22/06/2019,"29,253","29,741","29,481"
23/06/2019,"29,253","29,741","29,481"
24/06/2019,"29,381","29,827","29,566"
25/06/2019,"29,392","29,838","29,577"
26/06/2019,"29,189","29,785","29,367"
27/06/2019,"29,218","29,704","29,444"
28/06/2019,"29,138","29,758","29,340"
29/06/2019,"29,189","29,691","29,370"
30/06/2019,"29,189","29,691","29,370"
1/7/2019,"29,171","29,919","29,380"
2/7/2019,"29,027","29,655","29,237"
3/7/2019,"28,892","29,464","29,046"
4/7/2019,"28,909","29,379","29,122"
5/7/2019,"28,900","29,372","29,115"
6/7/2019,"28,900","29,372","29,115"
7/7/2019,"28,900","29,372","29,115"
8/7/2019,"28,792","29,248","28,993"
9/7/2019,"28,649","29,233","28,815"
10/7/2019,"28,581","29,037","28,782"
11/7/2019,"28,736","29,310","28,892"
12/7/2019,"28,736","29,322","28,893"
13/07/2019,"28,829","29,283","28,977"
14/07/2019,"28,829","29,283","28,977"
15/07/2019,"28,820","29,276","29,021"
16/07/2019,"28,689","29,167","28,911"
17/07/2019,"28,468","28,922","28,669"
18/07/2019,"28,549","29,075","28,820"
19/07/2019,"28,846","29,242","28,986"
20/07/2019,"28,846","29,242","28,986"
21/07/2019,"28,846","29,242","28,986"
22/07/2019,"28,725","29,183","28,927"
23/07/2019,"28,725","29,183","28,927"
24/07/2019,"28,498","28,966","28,712"
25/07/2019,"28,627","29,103","28,848"
26/07/2019,"28,572","29,030","28,776"
27/07/2019,"28,572","29,030","28,776"
28/07/2019,"28,572","29,030","28,776"
29/07/2019,"28,396","28,808","28,556"
30/07/2019,"27,985","28,379","28,131"
31/07/2019,"27,853","28,347","28,099"
1/8/2019,"27,789","28,383","27,965"
2/8/2019,"27,835","28,375","27,957"
3/8/2019,"27,835","28,375","27,957"
4/8/2019,"27,835","28,375","27,957"
5/8/2019,"27,990","28,542","28,124"
6/8/2019,"27,932","28,552","28,134"
7/8/2019,"27,936","28,482","28,064"
8/8/2019,"27,860","28,448","28,030"
9/8/2019,"27,828","28,412","27,994"
10/8/2019,"27,828","28,412","27,994"
11/8/2019,"27,828","28,412","27,994"
12/8/2019,"27,586","28,188","27,770"
13/08/2019,"27,683","28,247","27,829"
14/08/2019,"27,643","28,233","27,815"
15/08/2019,"27,648","28,266","27,848"
16/08/2019,"27,706","28,294","27,876"
17/08/2019,"27,706","28,294","27,876"
18/08/2019,"27,706","28,294","27,876"
19/08/2019,"27,835","28,327","28,015"
20/08/2019,"27,819","28,311","27,999"
21/08/2019,"27,891","28,383","28,094"
22/08/2019,"27,806","28,268","28,016"
23/08/2019,"28,075","28,537","28,281"
24/08/2019,"28,075","28,537","28,281"
25/08/2019,"28,075","28,537","28,281"
26/08/2019,"28,118","28,612","28,316"
27/08/2019,"28,054","28,516","28,242"
28/08/2019,"28,151","28,613","28,352"
29/08/2019,"27,968","28,434","28,178"
30/08/2019,"27,911","28,377","28,121"
31/08/2019,"27,911","28,377","28,121"
1/9/2019,"27,911","28,377","28,121"
2/9/2019,"27,911","28,377","28,121"
3/9/2019,"27,428","27,892","27,628"
4/9/2019,"27,720","28,186","27,926"
5/9/2019,"28,070","28,536","28,262"
6/9/2019,"28,264","28,730","28,474"
7/9/2019,"28,264","28,730","28,474"
8/9/2019,"28,264","28,730","28,474"
9/9/2019,"28,091","28,585","28,301"
10/9/2019,"28,315","28,815","28,525"
11/9/2019,"28,295","28,785","28,505"
12/9/2019,"28,272","28,758","28,481"
13/09/2019,"28,478","28,940","28,649"
14/09/2019,"28,478","28,940","28,649"
15/09/2019,"28,478","28,940","28,649"
16/09/2019,"28,639","29,115","28,834"
17/09/2019,"28,503","28,967","28,689"
18/09/2019,"28,672","29,146","28,866"
19/09/2019,"28,615","29,109","28,829"
20/09/2019,"28,742","29,204","28,922"
21/09/2019,"28,742","29,204","28,922"
22/09/2019,"28,742","29,204","28,922"
23/09/2019,"28,530","28,982","28,751"
24/09/2019,"28,515","28,979","28,700"
25/09/2019,"28,513","29,081","28,903"
26/09/2019,"28,277","28,801","28,487"
27/09/2019,"28,172","28,734","28,382"
28/09/2019,"28,172","28,734","28,382"
29/09/2019,"28,172","28,734","28,382"
30/09/2019,"28,221","28,683","28,378"
1/10/2019,"28,164","28,624","28,344"
2/10/2019,"28,103","28,695","28,276"
3/10/2019,"28,200","28,784","28,366"
4/10/2019,"28,274","28,898","28,480"
5/10/2019,"28,274","28,898","28,480"
6/10/2019,"28,274","28,898","28,480"
7/10/2019,"28,208","28,818","28,400"
8/10/2019,"28,160","28,738","28,320"
9/10/2019,"28,047","28,613","28,195"
10/10/2019,"28,068","28,636","28,218"
11/10/2019,"28,564","29,144","28,726"
12/10/2019,"28,564","29,144","28,726"
13/10/2019,"28,564","29,144","28,726"
14/10/2019,"28,833","29,421","29,003"
15/10/2019,"29,062","29,524","29,228"
16/10/2019,"29,195","29,793","29,405"
17/10/2019,"29,351","29,903","29,561"
18/10/2019,"29,569","30,031","29,697"
19/10/2019,"29,569","30,031","29,697"
20/10/2019,"29,569","30,031","29,697"
21/10/2019,"29,644","30,148","29,854"
22/10/2019,"29,698","30,234","29,908"
23/10/2019,"29,509","29,999","29,711"
24/10/2019,"29,585","30,111","29,795"
25/10/2019,"29,479","29,943","29,655"
26/10/2019,"29,479","29,943","29,655"
27/10/2019,"29,479","29,943","29,655"
28/10/2019,"29,403","29,871","29,585"
29/10/2019,"29,495","29,957","29,651"
30/10/2019,"29,525","29,987","29,699"
31/10/2019,"29,694","30,156","29,809"
1/11/2019,"29,752","30,214","29,888"
2/11/2019,"29,752","30,214","29,888"
3/11/2019,"29,752","30,214","29,888"
4/11/2019,"29,682","30,146","29,858"
5/11/2019,"29,592","30,054","29,740"
6/11/2019,"29,545","30,013","29,726"
7/11/2019,"29,505","29,967","29,651"
8/11/2019,"29,410","29,878","29,592"
9/11/2019,"29,410","29,878","29,592"
10/11/2019,"29,410","29,878","29,592"
11/11/2019,"29,368","29,844","29,557"
12/11/2019,"29,447","29,973","29,657"
13/11/2019,"29,495","29,957","29,665"
14/11/2019,"29,464","29,926","29,610"
15/11/2019,"29,556","30,020","29,732"
16/11/2019,"29,556","30,020","29,732"
17/11/2019,"29,556","30,020","29,732"
18/11/2019,"29,713","30,175","29,822"
19/11/2019,"29,722","30,184","29,892"
20/11/2019,"29,572","30,104","29,782"
21/11/2019,"29,668","30,130","29,838"
22/11/2019,"29,628","30,098","29,809"
23/11/2019,"29,628","30,098","29,809"
24/11/2019,"29,628","30,098","29,809"
25/11/2019,"29,472","29,950","29,663"
26/11/2019,"29,574","30,046","29,759"
27/11/2019,"29,447","29,951","29,657"
28/11/2019,"29,692","30,154","29,814"
29/11/2019,"29,573","30,087","29,783"
30/11/2019,"29,573","30,087","29,783"
1/12/2019,"29,573","30,087","29,783"
2/12/2019,"29,595","30,081","29,793"
3/12/2019,"29,697","30,179","29,890"
4/12/2019,"29,755","30,241","29,951"
5/12/2019,"30,032","30,524","30,231"
6/12/2019,"30,127","30,619","30,326"
7/12/2019,"30,127","30,619","30,326"
8/12/2019,"30,127","30,619","30,326"
9/12/2019,"30,141","30,603","30,310"
10/12/2019,"30,124","30,596","30,304"
11/12/2019,"30,083","30,559","30,266"
12/12/2019,"30,272","30,736","30,442"
13/12/2019,"30,716","31,392","30,926"
14/12/2019,"30,716","31,392","30,926"
15/12/2019,"30,716","31,392","30,926"
16/12/2019,"30,689","31,171","30,873"
17/12/2019,"30,440","30,938","30,343"
18/12/2019,"30,037","30,517","29,925"
19/12/2019,"30,046","30,508","30,158"
20/12/2019,"29,849","30,311","29,997"
21/12/2019,"29,849","30,311","29,997"
22/12/2019,"29,849","30,311","29,997"
23/12/2019,"29,814","30,276","29,978"
24/12/2019,"29,656","30,122","29,833"
25/12/2019,"29,686","30,166","29,876"
26/12/2019,"29,745","30,247","29,955"
27/12/2019,"29,747","30,249","29,957"
28/12/2019,"29,747","30,249","29,957"
29/12/2019,"29,747","30,249","29,957"
30/12/2019,"30,044","30,506","30,206"
31/12/2019,"30,055","30,521","30,229"
1/1/2020,"30,055","30,521","30,229"
2/1/2020,"30,313","30,861","30,523"
3/1/2020,"30,064","30,610","30,274"
4/1/2020,"30,064","30,610","30,274"
5/1/2020,"30,064","30,610","30,274"
6/1/2020,"29,969","30,463","30,135"
7/1/2020,"30,154","30,684","30,354"
8/1/2020,"30,113","30,575","30,219"
9/1/2020,"30,037","30,561","30,232"
10/1/2020,"29,905","30,451","30,115"
11/1/2020,"29,905","30,451","30,115"
12/1/2020,"29,905","30,451","30,115"
13/01/2020,"29,821","30,377","30,031"
14/01/2020,"29,722","30,272","29,932"
15/01/2020,"29,835","30,337","30,010"
16/01/2020,"29,885","30,393","30,066"
17/01/2020,"29,991","30,491","30,163"
18/01/2020,"29,991","30,491","30,163"
19/01/2020,"29,991","30,491","30,163"
20/01/2020,"29,789","30,291","29,965"
21/01/2020,"29,790","30,286","29,960"
22/01/2020,"29,902","30,398","30,072"
23/01/2020,"29,902","30,398","30,072"
24/01/2020,"29,902","30,398","30,072"
25/01/2020,"29,902","30,398","30,072"
26/01/2020,"29,902","30,398","30,072"
27/01/2020,"29,902","30,398","30,072"
28/01/2020,"29,902","30,398","30,072"
29/01/2020,"29,902","30,398","30,072"
30/01/2020,"29,856","30,348","29,983"
31/01/2020,"30,110","30,602","30,274"
1/2/2020,"30,110","30,602","30,274"
2/2/2020,"30,110","30,602","30,274"
3/2/2020,"30,257","30,833","30,467"
4/2/2020,"29,828","30,410","30,038"
5/2/2020,"29,903","30,381","30,056"
6/2/2020,"29,813","30,309","29,984"
7/2/2020,"29,712","30,212","29,888"
8/2/2020,"29,712","30,212","29,888"
9/2/2020,"29,712","30,212","29,888"
10/2/2020,"29,656","30,160","29,836"
11/2/2020,"29,655","30,169","29,845"
12/2/2020,"29,768","30,296","29,970"
13/02/2020,"29,778","30,266","29,941"
14/02/2020,"29,995","30,501","30,173"
15/02/2020,"29,995","30,501","30,173"
16/02/2020,"29,995","30,501","30,173"
17/02/2020,"29,978","30,478","30,150"
18/02/2020,"29,824","30,336","30,010"
19/02/2020,"29,860","30,378","30,051"
20/02/2020,"29,643","30,167","29,843"
21/02/2020,"29,641","30,129","29,806"
22/02/2020,"29,641","30,129","29,806"
23/02/2020,"29,641","30,129","29,806"
24/02/2020,"29,801","30,263","29,934"
25/02/2020,"29,795","30,271","29,946"
26/02/2020,"29,842","30,370","30,044"
27/02/2020,"29,701","30,219","29,894"
28/02/2020,"29,651","30,113","29,753"
29/02/2020,"29,651","30,113","29,753"
1/3/2020,"29,651","30,113","29,753"
2/3/2020,"29,468","29,966","29,644"
3/3/2020,"29,391","29,853","29,519"
4/3/2020,"29,378","29,906","29,584"
5/3/2020,"29,562","30,044","29,721"
6/3/2020,"29,804","30,266","29,935"
7/3/2020,"29,804","30,266","29,935"
8/3/2020,"29,804","30,266","29,935"
9/3/2020,"30,070","30,532","30,168"
10/3/2020,"29,864","30,448","30,074"
11/3/2020,"29,529","30,069","29,739"
12/3/2020,"29,383","29,845","29,511"
13/03/2020,"28,906","29,372","29,058"
14/03/2020,"28,906","29,372","29,058"
15/03/2020,"28,906","29,372","29,058"
16/03/2020,"28,377","28,839","28,502"
17/03/2020,"28,101","28,649","28,311"
18/03/2020,"27,770","28,230","27,905"
19/03/2020,"26,446","27,522","26,670"
20/03/2020,"27,014","27,898","27,046"
21/03/2020,"27,014","27,898","27,046"
22/03/2020,"27,014","27,898","27,046"
23/03/2020,"27,194","28,026","27,176"
24/03/2020,"27,053","27,899","27,053"
25/03/2020,"27,496","28,248","27,556"
26/03/2020,"27,531","28,341","27,648"
27/03/2020,"28,293","29,213","28,493"
28/03/2020,"28,293","29,213","28,493"
29/03/2020,"28,293","29,213","28,493"
30/03/2020,"28,739","29,641","28,915"
31/03/2020,"28,570","29,444","28,724"
1/4/2020,"28,673","29,461","28,739"
2/4/2020,"28,673","29,461","28,739"
3/4/2020,"28,602","29,386","28,653"
4/4/2020,"28,602","29,386","28,653"
5/4/2020,"28,602","29,386","28,653"
6/4/2020,"28,310","29,158","28,444"
7/4/2020,"28,482","29,362","28,472"
8/4/2020,"28,522","29,430","28,538"
9/4/2020,"28,636","29,590","28,693"
10/4/2020,"28,759","29,637","28,740"
11/4/2020,"28,759","29,637","28,740"
12/4/2020,"28,759","29,637","28,740"
13/04/2020,"28,857","29,661","28,761"
14/04/2020,"29,061","29,907","29,001"
15/04/2020,"28,893","29,853","28,948"
16/04/2020,"28,866","29,736","28,834"
17/04/2020,"28,671","29,589","28,705"
18/04/2020,"28,671","29,589","28,705"
19/04/2020,"28,671","29,589","28,705"
20/04/2020,"28,760","29,698","28,797"
21/04/2020,"28,608","29,552","28,656"
22/04/2020,"28,356","29,296","28,408"
23/04/2020,"28,537","29,481","28,587"
24/04/2020,"28,451","29,399","28,508"
25/04/2020,"28,451","29,399","28,508"
26/04/2020,"28,451","29,399","28,508"
27/04/2020,"28,708","29,634","28,735"
28/04/2020,"28,607","29,551","28,667"
29/04/2020,"28,691","29,645","28,747"
30/04/2020,"28,691","29,645","28,747"
1/5/2020,"28,691","29,645","28,747"
2/5/2020,"28,691","29,645","28,747"
3/5/2020,"28,691","29,645","28,747"
4/5/2020,"28,684","29,628","28,729"
5/5/2020,"28,687","29,621","28,723"
6/5/2020,"28,491","29,557","28,661"
7/5/2020,"28,443","29,385","28,494"
8/5/2020,"28,407","29,391","28,500"
9/5/2020,"28,407","29,391","28,500"
10/5/2020,"28,407","29,391","28,500"
11/5/2020,"28,478","29,434","28,542"
12/5/2020,"28,320","29,238","28,352"
13/05/2020,"28,150","29,078","28,196"
14/05/2020,"28,048","28,982","28,103"
15/05/2020,"28,028","28,952","28,074"
16/05/2020,"28,028","28,952","28,074"
17/05/2020,"28,028","28,952","28,074"
18/05/2020,"27,750","28,724","27,798"
19/05/2020,"28,005","28,969","28,091"
20/05/2020,"28,085","28,983","28,105"
21/05/2020,"27,914","28,860","27,984"
22/05/2020,"27,901","28,775","27,903"
23/05/2020,"27,901","28,775","27,903"
24/05/2020,"27,901","28,775","27,903"
25/05/2020,"27,913","28,817","27,943"
26/05/2020,"27,991","28,903","28,027"
27/05/2020,"28,267","29,165","28,281"
28/05/2020,"28,070","29,020","28,140"
29/05/2020,"28,216","29,134","28,251"
30/05/2020,"28,216","29,134","28,251"
31/05/2020,"28,216","29,134","28,251"
1/6/2020,"28,353","29,303","28,415"
2/6/2020,"28,609","29,537","28,641"
3/6/2020,"28,831","29,719","28,817"
4/6/2020,"28,678","29,596","28,698"
5/6/2020,"28,974","29,888","28,982"
6/6/2020,"28,974","29,888","28,982"
7/6/2020,"28,974","29,888","28,982"
8/6/2020,"28,993","29,941","29,033"
9/6/2020,"28,854","29,836","28,932"
10/6/2020,"29,109","30,033","29,122"
11/6/2020,"28,908","29,886","28,980"
12/6/2020,"28,686","29,624","28,726"
13/06/2020,"28,686","29,624","28,726"
14/06/2020,"28,686","29,624","28,726"
15/06/2020,"28,463","29,577","28,680"
16/06/2020,"28,749","29,781","28,877"
17/06/2020,"28,492","29,608","28,710"
18/06/2020,"28,461","29,569","28,673"
19/06/2020,"28,180","29,290","28,402"
20/06/2020,"28,180","29,290","28,402"
21/06/2020,"28,180","29,290","28,402"
22/06/2020,"28,046","29,114","28,231"
23/06/2020,"28,257","29,419","28,527"
24/06/2020,"28,366","29,498","28,604"
25/06/2020,"28,200","29,252","28,364"
26/06/2020,"28,182","29,226","28,340"
27/06/2020,"28,182","29,226","28,340"
28/06/2020,"28,182","29,226","28,340"
29/06/2020,"28,021","29,149","28,265"
30/06/2020,"27,899","28,987","28,108"
1/7/2020,"28,095","29,147","28,264"
2/7/2020,"28,309","29,369","28,479"
3/7/2020,"28,263","29,341","28,451"
4/7/2020,"28,263","29,341","28,451"
5/7/2020,"28,263","29,341","28,451"
6/7/2020,"28,303","29,387","28,496"
7/7/2020,"28,361","29,465","28,570"
8/7/2020,"28,491","29,549","28,650"
9/7/2020,"28,608","29,706","28,805"
10/7/2020,"28,564","29,676","28,774"
11/7/2020,"28,564","29,676","28,774"
12/7/2020,"28,564","29,676","28,774"
13/07/2020,"28,673","29,747","28,844"
14/07/2020,"28,454","29,532","28,636"
15/07/2020,"28,519","29,595","28,698"
16/07/2020,"28,463","29,571","28,674"
17/07/2020,"28,487","29,597","28,700"
18/07/2020,"28,487","29,597","28,700"
19/07/2020,"28,487","29,597","28,700"
20/07/2020,"28,465","29,479","28,585"
21/07/2020,"28,764","29,848","28,943"
22/07/2020,"28,881","29,967","29,059"
23/07/2020,"28,872","29,956","29,047"
24/07/2020,"28,891","30,001","29,090"
25/07/2020,"28,891","30,001","29,090"
26/07/2020,"28,891","30,001","29,090"
27/07/2020,"29,083","30,169","29,254"
28/07/2020,"29,252","30,330","29,410"
29/07/2020,"29,311","30,431","29,509"
30/07/2020,"29,446","30,556","29,629"
31/07/2020,"29,771","30,871","29,935"
1/8/2020,"29,771","30,871","29,935"
2/8/2020,"29,771","30,871","29,935"
3/8/2020,"29,688","30,770","29,836"
4/8/2020,"29,729","30,837","29,904"
5/8/2020,"29,683","30,789","29,855"
6/8/2020,"29,807","30,935","29,997"
7/8/2020,"29,803","30,927","29,990"
8/8/2020,"29,803","30,927","29,990"
9/8/2020,"29,803","30,927","29,990"
10/8/2020,"29,643","30,753","29,821"
11/8/2020,"29,662","30,754","29,821"
12/8/2020,"29,591","30,697","29,766"
13/08/2020,"29,639","30,735","29,803"
14/08/2020,"29,607","30,747","29,814"
15/08/2020,"29,607","30,747","29,814"
16/08/2020,"29,607","30,747","29,814"
17/08/2020,"29,712","30,836","29,900"
18/08/2020,"29,793","30,907","29,969"
19/08/2020,"30,086","31,182","30,236"
20/08/2020,"29,700","30,846","29,910"
21/08/2020,"30,012","31,130","30,186"
22/08/2020,"30,012","31,130","30,186"
23/08/2020,"30,012","31,130","30,186"
24/08/2020,"29,712","30,796","29,862"
25/08/2020,"29,668","30,770","29,836"
26/08/2020,"29,825","30,939","30,001"
27/08/2020,"29,978","31,100","30,156"
28/08/2020,"30,115","31,229","30,287"
29/08/2020,"30,115","31,229","30,287"
30/08/2020,"30,115","31,229","30,287"
31/08/2020,"30,270","31,398","30,446"
1/9/2020,"30,344","31,446","30,492"
2/9/2020,"30,344","31,446","30,492"
3/9/2020,"30,244","31,372","30,421"
4/9/2020,"30,136","31,248","30,300"
5/9/2020,"30,136","31,248","30,300"
6/9/2020,"30,136","31,248","30,300"
7/9/2020,"30,077","31,191","30,245"
8/9/2020,"29,841","30,959","30,020"
9/9/2020,"29,404","30,516","29,590"
10/9/2020,"29,465","30,577","29,649"
11/9/2020,"29,045","30,137","29,223"
12/9/2020,"29,045","30,137","29,223"
13/09/2020,"29,045","30,137","29,223"
14/09/2020,"29,040","30,108","29,195"
15/09/2020,"29,088","30,208","29,291"
16/09/2020,"29,248","30,318","29,398"
17/09/2020,"29,348","30,440","29,517"
18/09/2020,"29,427","30,555","29,629"
19/09/2020,"29,427","30,555","29,629"
20/09/2020,"29,427","30,555","29,629"
21/09/2020,"29,140","30,488","29,563"
22/09/2020,"29,028","30,376","29,452"
23/09/2020,"28,795","29,955","29,047"
24/09/2020,"28,874","29,974","29,064"
25/09/2020,"28,959","30,027","29,117"
26/09/2020,"28,959","30,027","29,117"
27/09/2020,"28,959","30,027","29,117"
28/09/2020,"28,956","30,034","29,124"
29/09/2020,"29,170","30,296","29,377"
30/09/2020,"29,128","30,278","29,360"
1/10/2020,"29,395","30,463","29,539"
2/10/2020,"29,238","30,320","29,400"
3/10/2020,"29,238","30,320","29,400"
4/10/2020,"29,238","30,320","29,400"
5/10/2020,"29,379","30,503","29,577"
6/10/2020,"29,501","30,603","29,675"
7/10/2020,"29,232","30,340","29,419"
8/10/2020,"29,408","30,516","29,595"
9/10/2020,"29,395","30,503","29,582"
10/10/2020,"29,395","30,503","29,582"
11/10/2020,"29,395","30,503","29,582"
12/10/2020,"29,562","30,664","29,734"
13/10/2020,"29,606","30,704","29,773"
14/10/2020,"29,312","30,462","29,538"
15/10/2020,"29,542","30,664","29,734"
16/10/2020,"29,264","30,370","29,448"
17/10/2020,"29,264","30,370","29,448"
18/10/2020,"29,264","30,370","29,448"
19/10/2020,"29,344","30,448","29,524"
20/10/2020,"29,363","30,475","29,552"
21/10/2020,"29,632","30,720","29,794"
22/10/2020,"29,810","30,904","29,967"
23/10/2020,"29,652","30,758","29,826"
24/10/2020,"29,652","30,758","29,826"
25/10/2020,"29,652","30,758","29,826"
26/10/2020,"29,582","30,708","29,777"
27/10/2020,"29,556","30,652","29,723"
28/10/2020,"29,570","30,660","29,729"
29/10/2020,"29,475","30,577","29,649"
30/10/2020,"29,320","30,414","29,492"
31/10/2020,"29,320","30,414","29,492"
1/11/2020,"29,320","30,414","29,492"
2/11/2020,"29,317","30,401","29,479"
3/11/2020,"29,436","30,526","29,604"
4/11/2020,"29,343","30,459","29,529"
5/11/2020,"29,532","30,522","29,597"
6/11/2020,"29,770","30,954","30,015"
7/11/2020,"29,770","30,954","30,015"
8/11/2020,"29,770","30,954","30,015"
9/11/2020,"29,934","31,008","30,068"
10/11/2020,"29,916","30,996","30,056"
11/11/2020,"30,099","31,231","30,284"
12/11/2020,"30,003","31,123","30,179"
13/11/2020,"29,773","30,881","29,944"
14/11/2020,"29,773","30,881","29,944"
15/11/2020,"29,773","30,881","29,944"
16/11/2020,"29,988","31,096","30,152"
17/11/2020,"29,976","31,108","30,164"
18/11/2020,"30,066","31,180","30,234"
19/11/2020,"30,026","31,142","30,198"
20/11/2020,"30,094","31,178","30,232"
21/11/2020,"30,094","31,178","30,232"
22/11/2020,"30,094","31,178","30,232"
23/11/2020,"30,197","31,311","30,361"
24/11/2020,"30,224","31,334","30,384"
25/11/2020,"30,300","31,420","30,467"
26/11/2020,"30,378","31,500","30,545"
27/11/2020,"30,308","31,416","30,463"
28/11/2020,"30,308","31,416","30,463"
29/11/2020,"30,308","31,416","30,463"
30/11/2020,"30,204","31,314","30,364"
1/12/2020,"30,320","31,354","30,402"
2/12/2020,"30,407","31,525","30,569"
3/12/2020,"30,265","31,387","30,435"
4/12/2020,"30,485","31,587","30,629"
5/12/2020,"30,485","31,587","30,629"
6/12/2020,"30,485","31,587","30,629"
7/12/2020,"29,986","31,100","30,144"
8/12/2020,"30,264","31,352","30,400"
9/12/2020,"30,279","31,409","30,456"
10/12/2020,"30,165","31,425","30,471"
11/12/2020,"30,142","31,244","30,296"
12/12/2020,"30,142","31,244","30,296"
13/12/2020,"30,142","31,244","30,296"
14/12/2020,"30,365","31,251","30,303"
15/12/2020,"30,224","31,338","30,388"
16/12/2020,"30,442","31,556","30,599"
17/12/2020,"30,631","31,709","30,747"
18/12/2020,"30,704","31,866","30,900"
19/12/2020,"30,704","31,866","30,900"
20/12/2020,"30,704","31,866","30,900"
21/12/2020,"30,365","31,479","30,525"
22/12/2020,"30,406","31,518","30,563"
23/12/2020,"30,329","31,425","30,471"
24/12/2020,"30,654","31,770","30,806"
